Phi[deg],Theta[deg],mag(rERHCP)[mV],ang_deg(rERHCP)[deg]
-180,-180,3919.4,-3.14461
-179,-180,3919.4,-2.14461
-178,-180,3919.4,-1.14461
-177,-180,3919.4,-0.144613
-176,-180,3919.4,0.855387
-175,-180,3919.4,1.85539
-174,-180,3919.4,2.85539
-173,-180,3919.4,3.85539
-172,-180,3919.4,4.85539
-171,-180,3919.4,5.85539
-170,-180,3919.4,6.85539
-169,-180,3919.4,7.85539
-168,-180,3919.4,8.85539
-167,-180,3919.4,9.85539
-166,-180,3919.4,10.8554
-165,-180,3919.4,11.8554
-164,-180,3919.4,12.8554
-163,-180,3919.4,13.8554
-162,-180,3919.4,14.8554
-161,-180,3919.4,15.8554
-160,-180,3919.4,16.8554
-159,-180,3919.4,17.8554
-158,-180,3919.4,18.8554
-157,-180,3919.4,19.8554
-156,-180,3919.4,20.8554
-155,-180,3919.4,21.8554
-154,-180,3919.4,22.8554
-153,-180,3919.4,23.8554
-152,-180,3919.4,24.8554
-151,-180,3919.4,25.8554
-150,-180,3919.4,26.8554
-149,-180,3919.4,27.8554
-148,-180,3919.4,28.8554
-147,-180,3919.4,29.8554
-146,-180,3919.4,30.8554
-145,-180,3919.4,31.8554
-144,-180,3919.4,32.8554
-143,-180,3919.4,33.8554
-142,-180,3919.4,34.8554
-141,-180,3919.4,35.8554
-140,-180,3919.4,36.8554
-139,-180,3919.4,37.8554
-138,-180,3919.4,38.8554
-137,-180,3919.4,39.8554
-136,-180,3919.4,40.8554
-135,-180,3919.4,41.8554
-134,-180,3919.4,42.8554
-133,-180,3919.4,43.8554
-132,-180,3919.4,44.8554
-131,-180,3919.4,45.8554
-130,-180,3919.4,46.8554
-129,-180,3919.4,47.8554
-128,-180,3919.4,48.8554
-127,-180,3919.4,49.8554
-126,-180,3919.4,50.8554
-125,-180,3919.4,51.8554
-124,-180,3919.4,52.8554
-123,-180,3919.4,53.8554
-122,-180,3919.4,54.8554
-121,-180,3919.4,55.8554
-120,-180,3919.4,56.8554
-119,-180,3919.4,57.8554
-118,-180,3919.4,58.8554
-117,-180,3919.4,59.8554
-116,-180,3919.4,60.8554
-115,-180,3919.4,61.8554
-114,-180,3919.4,62.8554
-113,-180,3919.4,63.8554
-112,-180,3919.4,64.8554
-111,-180,3919.4,65.8554
-110,-180,3919.4,66.8554
-109,-180,3919.4,67.8554
-108,-180,3919.4,68.8554
-107,-180,3919.4,69.8554
-106,-180,3919.4,70.8554
-105,-180,3919.4,71.8554
-104,-180,3919.4,72.8554
-103,-180,3919.4,73.8554
-102,-180,3919.4,74.8554
-101,-180,3919.4,75.8554
-100,-180,3919.4,76.8554
-99,-180,3919.4,77.8554
-98,-180,3919.4,78.8554
-97,-180,3919.4,79.8554
-96,-180,3919.4,80.8554
-95,-180,3919.4,81.8554
-94,-180,3919.4,82.8554
-93,-180,3919.4,83.8554
-92,-180,3919.4,84.8554
-91,-180,3919.4,85.8554
-90,-180,3919.4,86.8554
-89,-180,3919.4,87.8554
-88,-180,3919.4,88.8554
-87,-180,3919.4,89.8554
-86,-180,3919.4,90.8554
-85,-180,3919.4,91.8554
-84,-180,3919.4,92.8554
-83,-180,3919.4,93.8554
-82,-180,3919.4,94.8554
-81,-180,3919.4,95.8554
-80,-180,3919.4,96.8554
-79,-180,3919.4,97.8554
-78,-180,3919.4,98.8554
-77,-180,3919.4,99.8554
-76,-180,3919.4,100.855
-75,-180,3919.4,101.855
-74,-180,3919.4,102.855
-73,-180,3919.4,103.855
-72,-180,3919.4,104.855
-71,-180,3919.4,105.855
-70,-180,3919.4,106.855
-69,-180,3919.4,107.855
-68,-180,3919.4,108.855
-67,-180,3919.4,109.855
-66,-180,3919.4,110.855
-65,-180,3919.4,111.855
-64,-180,3919.4,112.855
-63,-180,3919.4,113.855
-62,-180,3919.4,114.855
-61,-180,3919.4,115.855
-60,-180,3919.4,116.855
-59,-180,3919.4,117.855
-58,-180,3919.4,118.855
-57,-180,3919.4,119.855
-56,-180,3919.4,120.855
-55,-180,3919.4,121.855
-54,-180,3919.4,122.855
-53,-180,3919.4,123.855
-52,-180,3919.4,124.855
-51,-180,3919.4,125.855
-50,-180,3919.4,126.855
-49,-180,3919.4,127.855
-48,-180,3919.4,128.855
-47,-180,3919.4,129.855
-46,-180,3919.4,130.855
-45,-180,3919.4,131.855
-44,-180,3919.4,132.855
-43,-180,3919.4,133.855
-42,-180,3919.4,134.855
-41,-180,3919.4,135.855
-40,-180,3919.4,136.855
-39,-180,3919.4,137.855
-38,-180,3919.4,138.855
-37,-180,3919.4,139.855
-36,-180,3919.4,140.855
-35,-180,3919.4,141.855
-34,-180,3919.4,142.855
-33,-180,3919.4,143.855
-32,-180,3919.4,144.855
-31,-180,3919.4,145.855
-30,-180,3919.4,146.855
-29,-180,3919.4,147.855
-28,-180,3919.4,148.855
-27,-180,3919.4,149.855
-26,-180,3919.4,150.855
-25,-180,3919.4,151.855
-24,-180,3919.4,152.855
-23,-180,3919.4,153.855
-22,-180,3919.4,154.855
-21,-180,3919.4,155.855
-20,-180,3919.4,156.855
-19,-180,3919.4,157.855
-18,-180,3919.4,158.855
-17,-180,3919.4,159.855
-16,-180,3919.4,160.855
-15,-180,3919.4,161.855
-14,-180,3919.4,162.855
-13,-180,3919.4,163.855
-12,-180,3919.4,164.855
-11,-180,3919.4,165.855
-10,-180,3919.4,166.855
-9,-180,3919.4,167.855
-8,-180,3919.4,168.855
-7,-180,3919.4,169.855
