Phi[deg],Theta[deg],mag(rERHCP)[mV],ang_deg(rERHCP)[deg]
-180,-180,1221.01,39.6672
-179,-180,1221.01,40.6672
-178,-180,1221.01,41.6672
-177,-180,1221.01,42.6672
-176,-180,1221.01,43.6672
-175,-180,1221.01,44.6672
-174,-180,1221.01,45.6672
-173,-180,1221.01,46.6672
-172,-180,1221.01,47.6672
-171,-180,1221.01,48.6672
-170,-180,1221.01,49.6672
-169,-180,1221.01,50.6672
-168,-180,1221.01,51.6672
-167,-180,1221.01,52.6672
-166,-180,1221.01,53.6672
-165,-180,1221.01,54.6672
-164,-180,1221.01,55.6672
-163,-180,1221.01,56.6672
-162,-180,1221.01,57.6672
-161,-180,1221.01,58.6672
-160,-180,1221.01,59.6672
-159,-180,1221.01,60.6672
-158,-180,1221.01,61.6672
-157,-180,1221.01,62.6672
-156,-180,1221.01,63.6672
-155,-180,1221.01,64.6672
-154,-180,1221.01,65.6672
-153,-180,1221.01,66.6672
-152,-180,1221.01,67.6672
-151,-180,1221.01,68.6672
-150,-180,1221.01,69.6672
-149,-180,1221.01,70.6672
-148,-180,1221.01,71.6672
-147,-180,1221.01,72.6672
-146,-180,1221.01,73.6672
-145,-180,1221.01,74.6672
-144,-180,1221.01,75.6672
-143,-180,1221.01,76.6672
-142,-180,1221.01,77.6672
-141,-180,1221.01,78.6672
-140,-180,1221.01,79.6672
-139,-180,1221.01,80.6672
-138,-180,1221.01,81.6672
-137,-180,1221.01,82.6672
-136,-180,1221.01,83.6672
-135,-180,1221.01,84.6672
-134,-180,1221.01,85.6672
-133,-180,1221.01,86.6672
-132,-180,1221.01,87.6672
-131,-180,1221.01,88.6672
-130,-180,1221.01,89.6672
-129,-180,1221.01,90.6672
-128,-180,1221.01,91.6672
-127,-180,1221.01,92.6672
-126,-180,1221.01,93.6672
-125,-180,1221.01,94.6672
-124,-180,1221.01,95.6672
-123,-180,1221.01,96.6672
-122,-180,1221.01,97.6672
-121,-180,1221.01,98.6672
-120,-180,1221.01,99.6672
-119,-180,1221.01,100.667
-118,-180,1221.01,101.667
-117,-180,1221.01,102.667
-116,-180,1221.01,103.667
-115,-180,1221.01,104.667
-114,-180,1221.01,105.667
-113,-180,1221.01,106.667
-112,-180,1221.01,107.667
-111,-180,1221.01,108.667
-110,-180,1221.01,109.667
-109,-180,1221.01,110.667
-108,-180,1221.01,111.667
-107,-180,1221.01,112.667
-106,-180,1221.01,113.667
-105,-180,1221.01,114.667
-104,-180,1221.01,115.667
-103,-180,1221.01,116.667
-102,-180,1221.01,117.667
-101,-180,1221.01,118.667
-100,-180,1221.01,119.667
-99,-180,1221.01,120.667
-98,-180,1221.01,121.667
-97,-180,1221.01,122.667
-96,-180,1221.01,123.667
-95,-180,1221.01,124.667
-94,-180,1221.01,125.667
-93,-180,1221.01,126.667
-92,-180,1221.01,127.667
-91,-180,1221.01,128.667
-90,-180,1221.01,129.667
-89,-180,1221.01,130.667
-88,-180,1221.01,131.667
-87,-180,1221.01,132.667
-86,-180,1221.01,133.667
-85,-180,1221.01,134.667
-84,-180,1221.01,135.667
-83,-180,1221.01,136.667
-82,-180,1221.01,137.667
-81,-180,1221.01,138.667
-80,-180,1221.01,139.667
-79,-180,1221.01,140.667
-78,-180,1221.01,141.667
-77,-180,1221.01,142.667
-76,-180,1221.01,143.667
-75,-180,1221.01,144.667
-74,-180,1221.01,145.667
-73,-180,1221.01,146.667
-72,-180,1221.01,147.667
-71,-180,1221.01,148.667
-70,-180,1221.01,149.667
-69,-180,1221.01,150.667
-68,-180,1221.01,151.667
-67,-180,1221.01,152.667
-66,-180,1221.01,153.667
-65,-180,1221.01,154.667
-64,-180,1221.01,155.667
-63,-180,1221.01,156.667
-62,-180,1221.01,157.667
-61,-180,1221.01,158.667
-60,-180,1221.01,159.667
-59,-180,1221.01,160.667
-58,-180,1221.01,161.667
-57,-180,1221.01,162.667
-56,-180,1221.01,163.667
-55,-180,1221.01,164.667
-54,-180,1221.01,165.667
-53,-180,1221.01,166.667
-52,-180,1221.01,167.667
-51,-180,1221.01,168.667
-50,-180,1221.01,169.667
-49,-180,1221.01,170.667
-48,-180,1221.01,171.667
-47,-180,1221.01,172.667
-46,-180,1221.01,173.667
-45,-180,1221.01,174.667
-44,-180,1221.01,175.667
-43,-180,1221.01,176.667
-42,-180,1221.01,177.667
-41,-180,1221.01,178.667
-40,-180,1221.01,179.667
-39,-180,1221.01,-179.333
-38,-180,1221.01,-178.333
-37,-180,1221.01,-177.333
-36,-180,1221.01,-176.333
-35,-180,1221.01,-175.333
-34,-180,1221.01,-174.333
-33,-180,1221.01,-173.333
-32,-180,1221.01,-172.333
-31,-180,1221.01,-171.333
-30,-180,1221.01,-170.333
-29,-180,1221.01,-169.333
-28,-180,1221.01,-168.333
-27,-180,1221.01,-167.333
-26,-180,1221.01,-166.333
-25,-180,1221.01,-165.333
-24,-180,1221.01,-164.333
-23,-180,1221.01,-163.333
-22,-180,1221.01,-162.333
-21,-180,1221.01,-161.333
-20,-180,1221.01,-160.333
-19,-180,1221.01,-159.333
-18,-180,1221.01,-158.333
-17,-180,1221.01,-157.333
-16,-180,1221.01,-156.333
-15,-180,1221.01,-155.333
-14,-180,1221.01,-154.333
-13,-180,1221.01,-153.333
-12,-180,1221.01,-152.333
-11,-180,1221.01,-151.333
-10,-180,1221.01,-150.333
-9,-180,1221.01,-149.333
-8,-180,1221.01,-148.333
-7,-180,1221.01,-147.333
-6,-180,1221.01,-146.333
-5,-180,1221.01,-145.333
-4,-180,1221.01,-144.333
-3,-180,1221.01,-143.333
-2,-180,1221.01,-142.333
-1,-180,1221.01,-141.333
0,-180,1221.01,-140.333
1,-180,1221.01,-139.333
2,-180,1221.01,-138.333
3,-180,1221.01,-137.333
4,-180,1221.01,-136.333
5,-180,1221.01,-135.333
6,-180,1221.01,-134.333
7,-180,1221.01,-133.333
8,-180,1221.01,-132.333
9,-180,1221.01,-131.333
10,-180,1221.01,-130.333
11,-180,1221.01,-129.333
12,-180,1221.01,-128.333
13,-180,1221.01,-127.333
14,-180,1221.01,-126.333
15,-180,1221.01,-125.333
16,-180,1221.01,-124.333
17,-180,1221.01,-123.333
18,-180,1221.01,-122.333
19,-180,1221.01,-121.333
20,-180,1221.01,-120.333
21,-180,1221.01,-119.333
22,-180,1221.01,-118.333
23,-180,1221.01,-117.333
24,-180,1221.01,-116.333
25,-180,1221.01,-115.333
26,-180,1221.01,-114.333
27,-180,1221.01,-113.333
28,-180,1221.01,-112.333
29,-180,1221.01,-111.333
30,-180,1221.01,-110.333
31,-180,1221.01,-109.333
32,-180,1221.01,-108.333
33,-180,1221.01,-107.333
34,-180,1221.01,-106.333
35,-180,1221.01,-105.333
36,-180,1221.01,-104.333
37,-180,1221.01,-103.333
38,-180,1221.01,-102.333
39,-180,1221.01,-101.333
40,-180,1221.01,-100.333
41,-180,1221.01,-99.3328
42,-180,1221.01,-98.3328
43,-180,1221.01,-97.3328
44,-180,1221.01,-96.3328
45,-180,1221.01,-95.3328
46,-180,1221.01,-94.3328
47,-180,1221.01,-93.3328
48,-180,1221.01,-92.3328
49,-180,1221.01,-91.3328
50,-180,1221.01,-90.3328
51,-180,1221.01,-89.3328
52,-180,1221.01,-88.3328
53,-180,1221.01,-87.3328
54,-180,1221.01,-86.3328
55,-180,1221.01,-85.3328
56,-180,1221.01,-84.3328
57,-180,1221.01,-83.3328
58,-180,1221.01,-82.3328
59,-180,1221.01,-81.3328
60,-180,1221.01,-80.3328
